9-String Guitar

-9 Frets
    S   9              8              7              6              5              4              3              2              1

    17  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  A6   440       D6   587.3295
    18  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  Bb6  466.1638  D#6  622.254
    19  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220       D5   293.6648  G5   391.9954  B6   493.8833  E6   659.2551
    20  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C6   523.2511  F6   698.4565
    21  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       C#6  554.3653  F#6  739.9888
    22  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D6   587.3295  G6   783.9909
    23  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  D#6  622.254   G#6  830.6094
    24  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G5   391.9954  C6   523.2511  E6   659.2551  A7   880

-6 Frets
    S   9              8              7              6              5              4              3              2              1

    0   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  D#4  138.5913  F4   174.6141  Bb5  233.0819
    1   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       F4   146.8324  F#4  184.9972  B5   246.9417
    2   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  F#4  155.5635  G4   195.9977  C5   261.6256 
    3   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E    164.8138  G#4  207.6523  C#5  277.1826
    4   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
    5   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  Bb5  233.0819  D#5  311.127
    6   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  B5   246.9417  E5   329.6276
    7   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C5   261.6256  F5   349.2282
    8   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       C#5  277.1826  F#5  369.9944
    9   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D5   293.6648  G5   391.9954
    10  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  D#5  311.127   G#5  415.3047
    11  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  E5   329.6276  A6   440
    12  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F5   349.2282  Bb6  466.1638
    13  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  F#5  369.9944  B6   493.8833
    14  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G5   391.9954  C6   523.2511
    15  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  G#5  415.3047  C#6  554.3653
    16  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  A6   440       D6   587.3295
    17  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  Bb6  466.1638  D#6  622.254
    18  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220       D5   293.6648  G5   391.9954  B6   493.8833  E6   659.2551
    19  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C6   523.2511  F6   698.4565
    20  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       C#6  554.3653  F#6  739.9888
    21  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D6   587.3295  G6   783.9909
    22  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  D#6  622.254   G#6  830.6094
    23  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G5   391.9954  C6   523.2511  E6   659.2551  A7   880
